Country Name,Year,Indicator Name,Value
Albania,2010,Population living in slums (% of urban population),15.4
Albania,2008,Population living in slums (% of urban population),17.9
Albania,2006,Population living in slums (% of urban population),20.5
Albania,2004,Population living in slums (% of urban population),23
Albania,2002,Population living in slums (% of urban population),25.5
Albania,2000,Population living in slums (% of urban population),28.1
Albania,2010,Percentage of female population age 15+ with no education,4.39
Albania,2005,Percentage of female population age 15+ with no education,3.07
Albania,2000,Percentage of female population age 15+ with no education,1.71
